飯店名稱,飯店地址,聯絡電話1,聯絡電話2,電子信箱,網址來源,抓取日期,isPhoneValid,isEmailValid
蝴蝶旅店,屏東縣恆春鎮南灣路68號,088882188,無,farfallahotel@gmail.com,http://uukt.com.tw/kenting/113,Fri Sep 13 13:35:30 2019,1,1
墾丁全哥的家親子民宿,屏東縣恆春鎮南灣路164號,0979648555,0917180980,7317xv@gmail.com,http://uukt.com.tw/kenting/47668,Fri Sep 13 13:35:31 2019,1,1
南灣蹓蹓海景民宿,屏東縣恆春鎮南灣路66號,0900107869,無,marcohuang684@gmail.com,http://uukt.com.tw/kenting/124,Fri Sep 13 13:35:31 2019,1,1
希臘遇見貓。墾丁海景民宿,屏東縣恆春鎮南灣路100號,0972429888,無,cat.at.greece@gmail.com,http://uukt.com.tw/kenting/47846,Fri Sep 13 13:35:31 2019,1,1
烏布會館,屏東縣恆春鎮南灣路林森巷14號,0983571159,無,ubudvilla@yahoo.com.tw,http://uukt.com.tw/kenting/105,Fri Sep 13 13:35:32 2019,1,1
小島旅店,屏東縣恆春鎮南灣路144號,0975467305,0903067269,q889238oo@yahoo.com.tw,http://uukt.com.tw/kenting/26992,Fri Sep 13 13:35:32 2019,1,1
南景天民宿,屏東縣恆春鎮南灣里南灣路林森巷9-2號,0988910273,088898685,kt8891667@yahoo.com.tw,http://uukt.com.tw/kenting/61,Fri Sep 13 13:35:32 2019,1,1
南灣一棧海景旅店,屏東縣恆春鎮南灣路56號,0921150600,無,sweetbayinn@gmail.com,http://uukt.com.tw/kenting/110,Fri Sep 13 13:35:32 2019,1,1
青松小棧,屏東縣恆春鎮南灣路174號,0915951865,無,chene87547@gmail.com,http://uukt.com.tw/kenting/121,Fri Sep 13 13:35:33 2019,1,1
浪花旅店,屏東縣恆春鎮南灣路188號,0988082026,無,spoondrift.kenting@gmail.com,http://uukt.com.tw/kenting/24082,Fri Sep 13 13:35:33 2019,1,1
阿飛衝浪旅店-南灣館,屏東縣恆春鎮南灣路272號,088896640,0970133501,afeihotel@gmail.com,http://uukt.com.tw/kenting/31675,Fri Sep 13 13:35:33 2019,1,1
南灣大阪六-懶人館民宿,屏東縣恆春鎮南灣路206號,088882778,0910686024,db8882778@gmail.com,http://uukt.com.tw/kenting/125,Fri Sep 13 13:35:33 2019,1,1
普羅旺斯海景民宿,屏東縣恆春鎮南灣路160號,0915565685,無,sbpro148@yahoo.com.tw,http://uukt.com.tw/kenting/118,Fri Sep 13 13:35:34 2019,1,1
ALOHA Inn,屏東縣恆春鎮南灣路222號,0921187878,0911077857,alohasurftaiwan@gmail.com,http://uukt.com.tw/kenting/472,Fri Sep 13 13:35:34 2019,1,1
夏漾旅店,屏東縣恆春鎮南灣路202號,0923303653,088880130,summer660226@gmail.com,http://uukt.com.tw/kenting/31056,Fri Sep 13 13:35:34 2019,1,1
南景天villa,屏東縣恆春鎮南灣里南灣路林森巷16~1號,0988910273,088898685,kt8891667@yahoo.com.tw,http://uukt.com.tw/kenting/42772,Fri Sep 13 13:35:34 2019,1,1
墾丁黃金海岸36海景旅店,屏東縣恆春鎮南灣路36號,088882258,無,sea8882288@gmail.com,http://uukt.com.tw/kenting/108,Fri Sep 13 13:35:35 2019,1,1
墾丁 珊瑚假期民宿,屏東縣恆春鎮南灣路244號,0928709789,0910362111,ms8891677@gmail.com,http://uukt.com.tw/kenting/128,Fri Sep 13 13:35:35 2019,1,1
貓夏趣旅店,屏東縣恆春鎮南灣路220號2樓,088899498,無,cat8899498@gmail.com,http://uukt.com.tw/kenting/47815,Fri Sep 13 13:35:35 2019,1,1
kiwi旅店,屏東縣恆春鎮南灣路166號,0939946166,無,kiwiresort@gmail.com,http://uukt.com.tw/kenting/27804,Fri Sep 13 13:35:35 2019,1,1
墾丁草分木B＆B,屏東縣恆春鎮南灣路242號,0913595027,無,,http://uukt.com.tw/kenting/47878,Fri Sep 13 13:35:36 2019,1,0
南灣飯店,屏東縣恆春鎮南灣路10號,088880123,無,amass.chen@msa.hinet.net,http://uukt.com.tw/kenting/537,Fri Sep 13 13:35:36 2019,1,1
金圓旅店,屏東縣恆春鎮南灣路132號,0958198492,無,t672172000@yahoo.com.tw,http://uukt.com.tw/kenting/117,Fri Sep 13 13:35:36 2019,1,1
藍灣旅店,屏東縣恆春鎮南灣路172號,0918259649,088898172,bluebay172@yahoo.com.tw,http://uukt.com.tw/kenting/37924,Fri Sep 13 13:35:36 2019,1,1
墾丁The F1rst 南灣,屏東縣恆春鎮南灣路114號,0906570800,無,thefirstnanwan114@gmail.com,http://uukt.com.tw/kenting/47874,Fri Sep 13 13:35:37 2019,1,1
南灣 潮棧民宿,屏東縣恆春鎮南灣路194號,0935206595,無,pans_inn@yahoo.com.tw,http://uukt.com.tw/kenting/39845,Fri Sep 13 13:35:37 2019,1,1
在這裡-南灣館包棟,0927722237,0986005581,無,,http://uukt.com.tw/kenting/47841,Fri Sep 13 13:35:37 2019,1,0
夏拉拉villa,屏東縣恆春鎮南灣路862巷21-6號,0972738563,無,shavilla19@gmail.com,http://uukt.com.tw/kenting/25695,Fri Sep 13 13:35:38 2019,1,1
悅夏villa,屏東縣恆春鎮南灣路862巷33號,0972738563,無,shavilla19@gmail.com,http://uukt.com.tw/kenting/1226,Fri Sep 13 13:35:38 2019,1,1
Yellow House,屏東縣恆春鎮南灣路862巷36號,097733215011002000,096667207311002100,yellowhouseweb@gmail.com,http://uukt.com.tw/kenting/47836,Fri Sep 13 13:35:38 2019,1,1
天水月民宿,屏東縣恆春鎮南灣路891號,0981227788,無,sky0981227788@gmail.com,http://uukt.com.tw/kenting/47667,Fri Sep 13 13:35:39 2019,1,1
墾丁鞍山庭園,屏東縣恆春鎮南灣里新營巷183號,0928926609,0932864321,anshantinyuan@gmail.com,http://uukt.com.tw/kenting/47887,Fri Sep 13 13:35:39 2019,1,1
優聖美地渡假村,屏東縣恆春鎮南灣路962號,088883433,無,yuyu088883433@gmail.com,http://uukt.com.tw/kenting/83,Fri Sep 13 13:35:39 2019,1,1
墾丁一心66親子庭園包棟民宿,屏東縣恆春鎮南灣里一心路66號,0975387889,無,no66yixin@gmail.com,http://uukt.com.tw/kenting/30603,Fri Sep 13 13:35:39 2019,1,1
墾丁Amanda亞曼達會館,屏東縣恆春鎮南灣路330號,088883399,088897788,service@amanda-hotel.com,http://uukt.com.tw/kenting/2,Fri Sep 13 13:35:40 2019,1,1
墾丁 七桃旅宿,屏東縣恆春鎮南灣路941號,088880883,0958108448,heyletsplay2015@gmail.com,http://uukt.com.tw/kenting/249,Fri Sep 13 13:35:40 2019,1,1
戀南灣包棟民宿,屏東縣恆春鎮南灣路信義巷32號,0912992809,無,a8869161@yahoo.com.tw,http://uukt.com.tw/kenting/1308,Fri Sep 13 13:35:40 2019,1,1
古皮公寓。輕工業包棟,屏東縣恆春鎮南灣路和平巷56號,0909566060,無,kuoweichiy@gmail.com,http://uukt.com.tw/kenting/60,Fri Sep 13 13:35:41 2019,1,1
潛客讚莊園,屏東縣恆春鎮南灣路633號,0980808986,無,b8899155@gmail.com,http://uukt.com.tw/kenting/24626,Fri Sep 13 13:35:41 2019,1,1
賀宜拉花園民宿,屏東縣恆春鎮南灣路862巷19號及21號,088891866,0960210047,hyl8891866@gmail.com,http://uukt.com.tw/kenting/47790,Fri Sep 13 13:35:41 2019,1,1
墾丁舍廷親子民宿,屏東縣恆春鎮南灣路鞍山巷50號,0900755500,無,kt13.bb@gmail.com,http://uukt.com.tw/kenting/47779,Fri Sep 13 13:35:41 2019,1,1
961休閒農舍,屏東縣恆春鎮南灣路961號,088882961,0985208828,,http://uukt.com.tw/kenting/11187,Fri Sep 13 13:35:41 2019,1,0
椰道翠林屋,屏東縣恆春鎮南灣里南光路35號,088891988,0913320378,yttlh0217@yahoo.com.tw,http://uukt.com.tw/kenting/14,Fri Sep 13 13:35:42 2019,1,1
月光海旅宿,屏東縣恆春鎮南灣路鞍山巷50號(碧海藍天內),0977558600,0936601255,joan981110@gmail.com.tw,http://uukt.com.tw/kenting/68,Fri Sep 13 13:35:42 2019,1,1
玫瑰人生民宿,屏東縣恆春鎮南灣路668號,0932087334,088881170,mish19730602@gmail.com,http://uukt.com.tw/kenting/76,Fri Sep 13 13:35:42 2019,1,1
貓兒散散步,屏東縣恆春鎮南灣路320號,088898689,0966536938,walkingcat8899@yahoo.com,http://uukt.com.tw/kenting/15,Fri Sep 13 13:35:42 2019,1,1
墾丁中心點星浪灣旅店,屏東縣恆春鎮南灣路和平巷33號,0905292706,0919990541,starrybayinn@gmail.com,http://uukt.com.tw/kenting/40589,Fri Sep 13 13:35:43 2019,1,1
檸檬樹,屏東縣恆春鎮南灣路鞍山巷2弄6號,0932782775,0912152648,i58585890@yahoo.com.tw,http://uukt.com.tw/kenting/69,Fri Sep 13 13:35:43 2019,1,1
墾丁 自遊行民宿,屏東縣恆春鎮南灣路和平巷90號,0930954101,無,fang123101@gmail.com,http://uukt.com.tw/kenting/52,Fri Sep 13 13:35:43 2019,1,1
南灣星棧民宿,屏東縣恆春鎮南灣路和平巷22號,0920413726,無,Moonlyp66517@gmail.com,http://uukt.com.tw/kenting/21850,Fri Sep 13 13:35:43 2019,1,1
小棧民宿,屏東縣恆春鎮南灣路951-1號,0912424697,無,,http://uukt.com.tw/kenting/49,Fri Sep 13 13:35:44 2019,1,0
南灣海神堡(海神堡之南灣分館),屏東縣恆春鎮南灣路862號之1,0911464448,無,god4448@yahoo.com.tw,http://uukt.com.tw/kenting/10687,Fri Sep 13 13:35:44 2019,1,1
南灣 北坪民宿,屏東縣恆春鎮南灣路402號,088882687,0913517303,queena933@yahoo.com.tw,http://uukt.com.tw/kenting/59,Fri Sep 13 13:35:44 2019,1,1
南灣kiki民宿,屏東縣恆春鎮南灣路和平巷32號,0955927025,0982683086,kiki329999@yahoo.com.tw,http://uukt.com.tw/kenting/18758,Fri Sep 13 13:35:45 2019,1,1
仲夏墾丁主題民宿,屏東縣恆春鎮南灣路鞍山巷50號(碧海藍天裡面),0985688558,0937701492,kt0985688558@gmail.com,http://uukt.com.tw/kenting/54,Fri Sep 13 13:35:45 2019,1,1
Ocean Sun 民宿,屏東縣恆春鎮南灣路信義巷66號,0935988684,無,ocean0935988684@gmail.com,http://uukt.com.tw/kenting/2425,Fri Sep 13 13:35:45 2019,1,1
陳氏椰園民宿,屏東縣恆春鎮南灣路862巷37號,0988578100,0988578032,chenshi032@gmail.com、QQ號：1625352893,http://uukt.com.tw/kenting/78,Fri Sep 13 13:35:46 2019,1,1
田園南灣民宿,屏東縣恆春鎮南灣路862巷42號之12,0982039203,0906653617,tianyuannanwan@yahoo.com,http://uukt.com.tw/kenting/411,Fri Sep 13 13:35:46 2019,1,1
瑪沙露湖畔旅館,屏東縣恆春鎮南灣路649號,088880789,無,masalu0789@gmail.com,http://uukt.com.tw/kenting/89,Fri Sep 13 13:35:46 2019,1,1
墾丁 星光會館,屏東縣恆春鎮南灣路龍鑾巷100號,088881888,無,star8881888@gmail.com,http://uukt.com.tw/kenting/37858,Fri Sep 13 13:35:46 2019,1,1
墾丁 陽光＆海民宿,屏東縣恆春鎮南灣路忠孝巷6弄1號,088899658,0921049171,amyky6289@yahoo.com,http://uukt.com.tw/kenting/22913,Fri Sep 13 13:35:46 2019,1,1
和風會館,屏東縣恆春鎮南灣路888號,088882727,088882828,kenting.hofeng@msa.hinet.net,http://uukt.com.tw/kenting/81,Fri Sep 13 13:35:47 2019,1,1
阿飛衝浪旅店-北飛館,屏東縣恆春鎮南灣路信義巷1弄6號,088896640,0970133501,afeihotel@gmail.com,http://uukt.com.tw/kenting/1354,Fri Sep 13 13:35:47 2019,1,1
春苑民宿,屏東縣恆春鎮南灣路信義巷4弄3號,0911887309,0921854105,ktspringpark@gmail.com,http://uukt.com.tw/kenting/55,Fri Sep 13 13:35:47 2019,1,1
董媽媽小築,屏東縣恆春鎮南灣路鞍山巷66號,088881657,0963007938,a0922172706@gmail.com,http://uukt.com.tw/kenting/82,Fri Sep 13 13:35:48 2019,1,1
彩虹的約定,屏東縣恆春鎮南灣路和平巷52號,0968906524,無,sunny80912@gmail.com,http://uukt.com.tw/kenting/47857,Fri Sep 13 13:35:48 2019,1,1
苣同民宿,屏東縣恆春鎮南灣里南灣路466號,088880849,無,friend198909@gmail.com,http://uukt.com.tw/kenting/47853,Fri Sep 13 13:35:48 2019,1,1
